pcode,name,Impact_data,Glofas_st,Glofas_st2,Glofas_st3,Glofas_st4,Total_Glofas,mountainuous,close_to_lake,Affected_noGlofas
KE030,Baringo,,,,,,0,,,
KE036,Bomet,,,,,,0,,,
KE039,Bungoma,,F0031,,,,1,,,
KE040,Busia,,F0031,,,,1,,,
KE028,Elgeyo-Marakwet,,,,,,0,,,
KE014,Embu,,G5299,,,,1,,,
KE007,Garissa,,G5305,G5208,G5210,,3,,,
KE043,Homa Bay,,,,,,0,,,
KE019,Nyeri,,,,,,0,,,
KE011,Isiolo,,G5210,G5208,G5198,G5197,4,,,
KE034,Kajiado,,,,,,0,,,
KE037,Kakamega,,F0031,,,,1,,,
KE035,Kericho,,,,,,0,,,
KE022,Kiambu,,,,,,0,,,
KE003,Kilifi,,G5332,G5326,G5305,,3,,,
KE020,Kirinyaga,,,,,,0,,,
KE045,Kisii,,,,,,0,,,
KE042,Kisumu,,,,,,0,,,
KE015,Kitui,,G5299,,,,1,,,
KE002,Kwale,,,,,,0,,,
KE031,Laikipia,,,,,,0,,,
KE016,Machakos,,G5299,,,,1,,,
KE017,Makueni,,,,,,0,,,
KE009,Mandera,,,,,,0,,,
KE025,Samburu,,,,,,0,,,
KE010,Marsabit,,G5173,G5170,G5171,,3,,,
KE012,Meru,,,,,,0,,,
KE044,Migori,,,,,,0,,,
KE021,Murang'a,,,,,,0,,,
KE047,Nairobi,,,,,,0,,,
KE032,Nakuru,,,,,,0,,,
KE029,Nandi,,,,,,0,,,
KE046,Nyamira,,,,,,0,,,
KE018,Nyandarua,,,,,,0,,,
KE041,Siaya,,F0031,,,,1,,,
KE006,Taita Taveta,,,,,,0,,,
KE004,Tana River,,G5332,G5326,G5305,,3,,,
KE013,Tharaka-Nithi,,G5299,,,,1,,,
KE026,Trans Nzoia,,,,,,0,,,
KE023,Turkana,,G5170,G5171,,,2,,,
KE027,Uasin Gishu,,,,,,0,,,
KE038,Vihiga,,,,,,0,,,
KE008,Wajir,,G5210,G5208,,,2,,,
KE024,West Pokot,,,,,,0,,,
KE033,Narok,,,,,,0,,,
KE001,Mombasa,,,,,,0,,,
KE005,Lamu,,G5332,G5326,G5305,,3,,,
